"date","open","high","low","close","volume","adjusted","Return","MA50","MA200","RSI","Volatility20","Drawdown","Upper","Lower","Middle","MACD","Signal"
2022-01-03,177.830001831055,182.880004882812,177.710006713867,182.009994506836,104487900,178.10368347168,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2022-01-04,182.630004882812,182.940002441406,179.119995117188,179.699996948242,99310400,175.843246459961,0,NA,NA,NA,NA,-0.0126915973205362,NA,NA,NA,NA,NA
2022-01-05,179.610000610352,180.169998168945,174.639999389648,174.919998168945,94537600,171.165817260742,-0.0126915973205362,NA,NA,NA,NA,-0.0389538846869442,NA,NA,NA,NA,NA
2022-01-06,172.699996948242,175.300003051758,171.639999389648,172,96904000,168.308502197266,-0.0265998823621217,NA,NA,NA,NA,-0.0549969496672886,NA,NA,NA,NA,NA
2022-01-07,172.889999389648,174.139999389648,171.029998779297,172.169998168945,86709100,168.474853515625,-0.016693335236175,NA,NA,NA,NA,-0.0540629450847055,NA,NA,NA,NA,NA
2022-01-10,169.080001831055,172.5,168.169998168945,172.190002441406,106765600,168.49446105957,0.000988361447356478,NA,NA,NA,NA,-0.0539530375353144,NA,NA,NA,NA,NA
2022-01-11,172.320007324219,175.179992675781,170.820007324219,175.080001831055,76138300,171.322357177734,0.000116189072856487,NA,NA,NA,NA,-0.0380747919616083,NA,NA,NA,NA,NA
2022-01-12,176.119995117188,177.179992675781,174.820007324219,175.529998779297,74805200,171.762756347656,0.0167837815707788,NA,NA,NA,NA,-0.0356024170271357,NA,NA,NA,NA,NA
2022-01-13,175.779998779297,176.619995117188,171.789993286133,172.190002441406,84505800,168.49446105957,0.00257023614082663,NA,NA,NA,NA,-0.0539530375353144,NA,NA,NA,NA,NA
2022-01-14,171.339996337891,173.779998779297,171.089996337891,173.070007324219,80440800,169.355529785156,-0.0190280656361775,NA,NA,NA,NA,-0.0491181113808639,NA,NA,NA,NA,NA
2022-01-18,171.509994506836,172.539993286133,169.410003662109,169.800003051758,90956700,166.155700683594,0.00511066188707421,NA,NA,NA,NA,-0.0670841812185184,NA,NA,NA,NA,NA
2022-01-19,170,171.080001831055,165.940002441406,166.229995727539,94815000,162.662322998047,-0.018894112983627,NA,NA,NA,NA,-0.0866985289574536,NA,NA,NA,NA,NA
2022-01-20,166.979995727539,169.679992675781,164.179992675781,164.509994506836,91420500,160.979248046875,-0.021024777738847,NA,NA,NA,NA,-0.0961485661675724,NA,NA,NA,NA,NA
2022-01-21,164.419998168945,166.330001831055,162.300003051758,162.410003662109,122848900,158.92431640625,-0.0103471170360993,NA,NA,NA,NA,-0.107686343806743,NA,NA,NA,NA,NA
2022-01-24,160.020004272461,162.300003051758,154.699996948242,161.619995117188,162294600,158.151275634766,-0.0127651262224029,NA,NA,15.0975783925985,NA,-0.112026811741278,NA,NA,NA,NA,NA
